Date,Type,residence,Positive,Negative
10/20/2020,Students,Students - Non-Residential,12,507
10/20/2020,Students,Students - Residential,7,510
10/21/2020,Faculty/Staff,Non-Residential,4,120
10/21/2020,Students,Students - Non-Residential,6,397
10/21/2020,Students,Students - Residential,9,445
10/22/2020,Faculty/Staff,Non-Residential,2,123
10/22/2020,Students,Students - Non-Residential,6,476
10/22/2020,Students,Students - Residential,9,464
10/23/2020,Faculty/Staff,Non-Residential,4,58
10/23/2020,Students,Students - Non-Residential,2,282
10/23/2020,Students,Students - Residential,4,438
10/24/2020,Faculty/Staff,Non-Residential,0,0
10/24/2020,Students,Students - Non-Residential,1,14
10/24/2020,Students,Students - Residential,3,15
10/25/2020,Faculty/Staff,Non-Residential,1,41
10/25/2020,Students,Students - Non-Residential,2,104
10/25/2020,Students,Students - Residential,1,47
10/26/2020,Faculty/Staff,Non-Residential,3,129
10/26/2020,Students,Students - Non-Residential,3,496
10/26/2020,Students,Students - Residential,7,458
10/27/2020,Faculty/Staff,Non-Residential,3,134
10/27/2020,Students,Students - Non-Residential,7,572
10/27/2020,Students,Students - Residential,3,526
10/28/2020,Faculty/Staff,Non-Residential,3,120
10/28/2020,Students,Students - Non-Residential,2,450
10/28/2020,Students,Students - Residential,5,233
10/29/2020,Faculty/Staff,Non-Residential,2,112
10/29/2020,Students,Students - Non-Residential,3,487
10/29/2020,Students,Students - Residential,2,356
10/30/2020,Faculty/Staff,Non-Residential,1,59
10/30/2020,Students,Students - Non-Residential,4,233
10/30/2020,Students,Students - Residential,2,355
10/31/2020,Faculty/Staff,Non-Residential,1,0
10/31/2020,Students,Students - Non-Residential,1,13
10/31/2020,Students,Students - Residential,4,13
11/1/2020,Faculty/Staff,Non-Residential,0,5
11/1/2020,Students,Students - Non-Residential,0,12
11/1/2020,Students,Students - Residential,0,14
11/2/2020,Faculty/Staff,Non-Residential,3,138
11/2/2020,Students,Students - Non-Residential,7,605
11/2/2020,Students,Students - Residential,3,522
11/3/2020,Faculty/Staff,Non-Residential,3,61
11/3/2020,Students,Students - Non-Residential,13,539
11/3/2020,Students,Students - Residential,10,502
11/4/2020,Faculty/Staff,Non-Residential,2,160
11/4/2020,Students,Students - Non-Residential,17,337
11/4/2020,Students,Students - Residential,15,451
11/5/2020,Faculty/Staff,Non-Residential,1,67
11/5/2020,Students,Students - Non-Residential,14,428
11/5/2020,Students,Students - Residential,8,378
11/6/2020,Faculty/Staff,Non-Residential,0,67
11/6/2020,Students,Students - Non-Residential,16,307
11/6/2020,Students,Students - Residential,12,342
11/7/2020,Faculty/Staff,Non-Residential,2,72
11/7/2020,Students,Students - Non-Residential,6,148
11/7/2020,Students,Students - Residential,2,81
11/8/2020,Faculty/Staff,Non-Residential,0,2
11/8/2020,Students,Students - Non-Residential,3,54
11/8/2020,Students,Students - Residential,2,33
11/9/2020,Faculty/Staff,Non-Residential,8,90
11/9/2020,Students,Students - Non-Residential,13,172
11/9/2020,Students,Students - Residential,6,112
11/10/2020,Faculty/Staff,Non-Residential,1,101
11/10/2020,Students,Students - Non-Residential,23,565
11/10/2020,Students,Students - Residential,14,388
11/11/2020,Faculty/Staff,Non-Residential,5,122
11/11/2020,Students,Students - Non-Residential,24,658
11/11/2020,Students,Students - Residential,11,482
11/12/2020,Faculty/Staff,Non-Residential,4,108
11/12/2020,Students,Students - Non-Residential,11,469
11/12/2020,Students,Students - Residential,39,394
11/13/2020,Faculty/Staff,Non-Residential,12,188
11/13/2020,Students,Students - Non-Residential,14,453
11/13/2020,Students,Students - Residential,17,453
11/14/2020,Faculty/Staff,Non-Residential,0,16
11/14/2020,Students,Students - Non-Residential,3,76
11/14/2020,Students,Students - Residential,6,357
11/15/2020,Faculty/Staff,Non-Residential,6,57
11/15/2020,Students,Students - Non-Residential,16,101
11/15/2020,Students,Students - Residential,4,47
11/16/2020,Faculty/Staff,Non-Residential,15,165
11/16/2020,Students,Students - Non-Residential,25,561
11/16/2020,Students,Students - Residential,29,443
11/17/2020,Faculty/Staff,Non-Residential,9,156
11/17/2020,Students,Students - Non-Residential,15,472
11/17/2020,Students,Students - Residential,21,291
11/18/2020,Faculty/Staff,Non-Residential,5,137
11/18/2020,Students,Students - Non-Residential,18,533
11/18/2020,Students,Students - Residential,23,505
11/19/2020,Faculty/Staff,Non-Residential,8,127
